Passo,Sucetivel,Infectado,Exposto,Removido
866,131,869,0,0
867,134,866,0,0
868,112,888,0,0
869,120,880,0,0
870,127,873,0,0
871,130,870,0,0
872,135,865,0,0
873,112,888,0,0
874,125,875,0,0
875,130,870,0,0
876,118,882,0,0
877,124,876,0,0
878,119,881,0,0
879,120,880,0,0
880,127,873,0,0
881,144,856,0,0
882,118,882,0,0
883,115,885,0,0
884,130,870,0,0
885,141,859,0,0
886,129,871,0,0
887,139,861,0,0
888,147,853,0,0
889,138,862,0,0
890,149,851,0,0
891,142,858,0,0
892,141,859,0,0
893,126,874,0,0
894,117,883,0,0
895,118,882,0,0
896,121,879,0,0
897,112,888,0,0
898,127,873,0,0
899,122,878,0,0
900,125,875,0,0
901,119,881,0,0
902,116,884,0,0
903,109,891,0,0
904,104,896,0,0
905,124,876,0,0
906,127,873,0,0
907,111,889,0,0
908,135,865,0,0
909,143,857,0,0
910,128,872,0,0
911,112,888,0,0
912,119,881,0,0
913,120,880,0,0
914,117,883,0,0
915,124,876,0,0
916,129,871,0,0
917,116,884,0,0
918,120,880,0,0
919,113,887,0,0
920,123,877,0,0
921,112,888,0,0
922,129,871,0,0
923,124,876,0,0
924,121,879,0,0
925,143,857,0,0
926,127,873,0,0
927,149,851,0,0
928,131,869,0,0
929,139,861,0,0
930,151,849,0,0
931,135,865,0,0
932,133,867,0,0
933,131,869,0,0
934,123,877,0,0
935,136,864,0,0
936,146,854,0,0
937,149,851,0,0
938,127,873,0,0
939,132,868,0,0
940,122,878,0,0
941,133,867,0,0
942,117,883,0,0
943,126,874,0,0
944,140,860,0,0
945,139,861,0,0
946,135,865,0,0
947,127,873,0,0
948,140,860,0,0
949,120,880,0,0
950,128,872,0,0
951,125,875,0,0
952,134,866,0,0
953,142,858,0,0
954,115,885,0,0
955,151,849,0,0
956,137,863,0,0
957,117,883,0,0
958,127,873,0,0
959,128,872,0,0
960,137,863,0,0
961,116,884,0,0
962,112,888,0,0
963,110,890,0,0
964,104,896,0,0
965,116,884,0,0
966,131,869,0,0
967,134,866,0,0
968,129,871,0,0
969,121,879,0,0
970,128,872,0,0
971,118,882,0,0
972,114,886,0,0
973,109,891,0,0
974,114,886,0,0
975,128,872,0,0
976,120,880,0,0
977,127,873,0,0
978,136,864,0,0
979,109,891,0,0
980,116,884,0,0
981,117,883,0,0
982,129,871,0,0
983,131,869,0,0
984,138,862,0,0
985,132,868,0,0
986,123,877,0,0
987,122,878,0,0
988,140,860,0,0
989,123,877,0,0
990,110,890,0,0
991,144,856,0,0
992,146,854,0,0
993,118,882,0,0
994,114,886,0,0
995,109,891,0,0
996,123,877,0,0
997,129,871,0,0
998,128,872,0,0
999,133,867,0,0
1000,129,871,0,0
